20000 200000
13047 9985 7908
9985 10719 -5686
10719 4882 2185
4882 5 -4106
5 12067 -39
12067 18368 3792
18368 10245 826
10245 12858 -4663
12858 3752 9106
3752 576 -1084
576 19019 -1792
19019 425 -2413
425 6156 1904
6156 10420 1660
10420 16 2271
16 17 -1584
17 9123 -324
9123 10696 -1293
10696 4012 3264
4012 13047 -4455
2866 7348 2344
7348 23 3131
23 7863 3668
7863 4636 -7430
4636 693 1938
693 14137 3601
14137 17357 1335
17357 18827 -6001
18827 1319 5229
1319 6733 799
6733 1927 -3897
1927 19572 2453
19572 16534 1113
16534 2677 -5379
2677 5503 -1224
5503 37 6891
37 38 -6097
38 2599 1581
2599 5711 -94
5711 2866 504
41 9744 6474
9744 2826 2976
2826 2214 -594
2214 238 -8662
238 9124 6231
9124 18871 -2030
18871 3702 -1278
3702 6617 2469
6617 6792 618
6792 15720 -2330
15720 17317 -1440
17317 53 7126
53 54 -8855
54 19821 7189
19821 19436 -263
19436 57 -2618
57 2102 -1785
2102 17015 4336
17015 15263 -1515
15263 41 -4337
6257 1305 8606
1305 8920 -3372
8920 8345 -989
8345 65 1271
65 15281 680
15281 18648 -3285
18648 9998 -203
9998 2413 -988
2413 70 200
70 71 4312
71 18273 2049
18273 16079 -5597
16079 12 -1838
12 11904 488
11904 5149 2540
5149 16672 5717
16672 1547 -1490
1547 1197 47
1197 15223 -5344
15223 6257 -195
1040 82 3919
82 7376 -1824
7376 7288 7762
7288 11366 -1269
11366 9591 -3696
9591 16989 -2906
16989 13039 5365
13039 12909 -1590
12909 13264 715
13264 9348 -6435
9348 6482 566
6482 93 5455
93 94 -754
94 4943 268
4943 15935 -4694
15935 97 1988
97 3828 2072
3828 467 -703
467 2796 1854
2796 1040 2038
101 11097 4692
11097 15688 -1046
15688 2414 2805
2414 105 160
105 10134 -2168
10134 16464 1104
16464 2858 -3210
2858 8748 7273
8748 110 262
110 1725 -610
1725 16280 -4258
16280 113 754
113 114 -3185
114 6044 1084
6044 16157 5938
16157 7794 -9078
7794 10204 582
10204 119 7396
119 10638 -6482
10638 101 -1877
4815 6974 825
6974 4005 7342
4005 907 -2359
907 7017 -3913
7017 126 4700
126 10127 -4904
10127 5590 7180
5590 2810 -4556
2810 10790 2031
10790 16673 -3866
16673 14332 -384
14332 133 -1816
133 15258 938
15258 2071 846
2071 14259 7275
14259 8613 -695
8613 7493 -8607
7493 2917 183
2917 13301 8913
13301 4815 -2339
1801 4437 5098
4437 143 4128
143 14930 -4578
14930 5179 401
5179 146 -579
146 6740 -2017
6740 148 4542
148 12680 -4553
12680 13253 6685
13253 18272 -2072
18272 10247 -6184
10247 18921 6301
18921 15819 -7141
15819 12302 4650
12302 19490 -1548
19490 5865 6315
5865 8141 -5257
8141 6428 -819
6428 9306 4693
9306 1801 -913
2675 3933 1220
3933 15672 8230
15672 164 -7309
164 19273 6056
19273 15708 -6423
15708 117 1021
117 14875 1147
14875 10716 2394
10716 170 919
170 2174 -7046
2174 7008 7780
7008 173 1841
173 11381 -4852
11381 15545 876
15545 17609 -5693
17609 9982 7634
9982 4332 -2418
4332 11992 -402
11992 19219 2455
19219 2675 -2879
4640 12403 1359
12403 183 -1149
183 13483 9432
13483 8233 -90
8233 13049 -786
13049 15017 -5771
15017 2605 835
2605 11313 4844
11313 190 -5343
190 15020 5655
15020 192 -8782
192 12919 3995
12919 1063 -4157
1063 2175 8998
2175 196 -8696
196 17378 5622
17378 198 -3735
198 17026 646
17026 1903 2122
1903 4640 -3723
14898 202 5001
202 12509 4411
12509 9599 -396
9599 3642 -3926
3642 17295 330
17295 14610 -2042
14610 17319 2186
17319 3349 1188
3349 4347 1264
4347 211 -7938
211 14549 4711
14549 5886 4487
5886 7840 -2086
7840 215 -814
215 15039 2777
15039 682 -7896
682 218 6290
218 219 -7167
219 11672 836
11672 14898 3921
9718 15511 6968
15511 1793 1801
1793 12731 -7299
12731 1207 6590
1207 13261 -3697
13261 1744 -3938
1744 6571 9228
6571 11561 -3031
11561 19595 -4658
19595 449 1070
449 2996 4715
2996 4454 -1386
4454 13552 -1918
13552 1920 4791
1920 4911 -2181
4911 9341 -5353
9341 13638 -1178
13638 15259 -216
15259 11092 6169
11092 9718 -3739
10428 171 4924
171 5027 3667
5027 244 -7693
244 12566 1061
12566 15225 -1782
15225 19433 9474
19433 3583 -8721
3583 4652 6647
4652 17413 1111
17413 16954 -7297
16954 252 7675
252 7610 -599
7610 16086 -5119
16086 5900 4727
5900 7224 -426
7224 17293 -7367
17293 14672 6884
14672 15215 -2864
15215 4565 1122
4565 10428 -2342
10863 262 8472
262 15881 522
15881 8553 633
8553 7403 -3569
7403 8224 499
8224 4054 -5835
4054 14662 7564
14662 13356 -2043
13356 270 -2295
270 17191 -340
17191 272 3043
272 10859 -4342
10859 5249 2792
5249 6271 927
6271 9995 2273
9995 781 -7198
781 10684 5039
